,Species,Owner,Country_of_Origin,Region,Farm_Name,Altitude,Harvest.Year,Grading.Date,Grading_Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Moisture,Color,Expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
36,Arabica,daniel magu,Kenya,Africa,kangunu,1800,2013,"May 30th, 2014",2014,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,Blue-Green,"May 30th, 2015",m,1800,1800,1800
37,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,2012,"April 6th, 2012",2012,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,,"April 6th, 2013",ft,NA,NA,NA
38,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,kona pacific farmers cooperative,,2010,"January 28th, 2011",2011,,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,,"January 28th, 2012",ft,NA,NA,NA
39,Arabica,ethiopia commodity exchange,Ethiopia,Africa,"phone number | 0911-51-08-01, email | at",,2009/2010,"June 17th, 2010",2010,,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,,"June 17th, 2011",m,NA,NA,NA
40,Arabica,cqi q coffee sample representative,United States,NorthA,la primavera,meters above sea level: 1.941,2014,"March 13th, 2015",2015,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,,"March 12th, 2016",m,1941,1941,1941
41,Arabica,itdp international,Thailand,Asia,co-op #12,1300,2012,"April 12th, 2012",2012,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,Green,"April 12th, 2013",m,1300,1300,1300
42,Arabica,jacques pereira carneiro,Brazil,SouthA,pereira estate coffee,1.2,2010,"January 4th, 2011",2011,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,,"January 4th, 2012",m,12,12,12
43,Arabica,jacques pereira carneiro,Brazil,SouthA,pereira estate coffee,1.2,2010,"January 4th, 2011",2011,Yellow Bourbon,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,,"January 4th, 2012",m,12,12,12
44,Arabica,"lin, che-hao krude",Taiwan,Asia,sunshine valley estate,1000 m,2015,"June 10th, 2015",2015,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,Green,"June 9th, 2016",m,1000,1000,1000
45,Arabica,jungle estate,Kenya,Africa,jungle estate,1754,2014,"January 29th, 2015",2015,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,Bluish-Green,"January 29th, 2016",m,1754,1754,1754
46,Arabica,nucoffee,Brazil,SouthA,fazenda kaquend,1250m,2011,"December 3rd, 2011",2011,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,Blue-Green,"December 2nd, 2012",m,1250,1250,1250
47,Arabica,great lakes coffee uganda,Uganda,Africa,kaasayi,,2014,"October 1st, 2014",2014,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,,"October 1st, 2015",m,NA,NA,NA
48,Arabica,lusso lab,Colombia,SouthA,ecobio colombia,900-1500m,2013,"March 20th, 2014",2014,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,Green,"March 20th, 2015",m,900,1500,1200
49,Arabica,lusso lab,Kenya,Africa,kianjavi,1520m-2200m,2013,"February 6th, 2014",2014,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,Green,"February 6th, 2015",m,1520,2200,1860
50,Arabica,afca,Uganda,Africa,unknown,1400-1900m,2012,"February 13th, 2012",2012,Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,Blue-Green,"February 12th, 2013",m,1400,1900,1650
51,Arabica,ethiopia commodity exchange,Ethiopia,Africa,contact | sidacoop@ethionet.net,1500-2000 m,2009/2010,"June 17th, 2010",2010,,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,,"June 17th, 2011",m,1500,2000,1750
52,Arabica,grounds for health admin,United States (Hawaii),Pacific,hula daddy kona coffee,1400ft,Fall 2009,"May 31st, 2010",2010,,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,,"May 31st, 2011",ft,426.72,426.72,426.72
53,Arabica,juan luis alvarado romero,Guatemala,CenterA,la esperanza y anexos,,2016,"May 16th, 2016",2016,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,Green,"May 16th, 2017",m,NA,NA,NA
54,Arabica,kawacom uganda ltd,Uganda,Africa,sipi organic coffee project,1400-1900,2013,"June 30th, 2014",2014,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,Green,"June 30th, 2015",m,1400,1900,1650
55,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1800 msnm,2013,"July 26th, 2013",2013,Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,Blue-Green,"July 26th, 2014",m,1800,1800,1800
56,Arabica,gonzalo hernandez,Panama,CenterA,la berlina estate,1600,2017,"October 9th, 2017",2017,Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,Bluish-Green,"October 9th, 2018",m,1600,1600,1600
57,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,Africa,unknown,1800-2000,2014,"April 4th, 2015",2015,,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,Green,"April 3rd, 2016",m,1800,2000,1900
58,Arabica,juan luis alvarado romero,Guatemala,CenterA,valparaiso,5000,2012,"July 3rd, 2012",2012,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,Green,"July 3rd, 2013",ft,1524,1524,1524
59,Arabica,juan luis alvarado romero,Guatemala,CenterA,finca el limon,4650,2012,"June 5th, 2012",2012,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,Bluish-Green,"June 5th, 2013",ft,1417.32,1417.32,1417.32
60,Arabica,seid damtew coffee planataion,Ethiopia,Africa,seid damtew coffee planation,,2017,"June 23rd, 2017",2017,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,None,"June 23rd, 2018",m,NA,NA,NA
61,Arabica,dane loraas,Peru,SouthA,unknown,,2013,"January 22nd, 2014",2014,,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,Green,"January 22nd, 2015",m,NA,NA,NA
62,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,Pacific,tairora cherry  bonta,1700 mts,2012,"October 25th, 2012",2012,,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,Bluish-Green,"October 25th, 2013",m,1700,1700,1700
63,Arabica,atlantic specialty coffee,El Salvador,CenterA,el majahual,1500 meters,2013,"March 18th, 2013",2013,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,Blue-Green,"March 18th, 2014",m,1500,1500,1500
64,Arabica,lusso lab,El Salvador,CenterA,finca la esmeralda,1300~1400 m.s.l,2012,"January 12th, 2013",2013,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,None,"January 12th, 2014",m,1300,1400,1350
65,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,2012,"April 6th, 2012",2012,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,,"April 6th, 2013",ft,NA,NA,NA
66,Arabica,essencecoffee,Panama,CenterA,elida estate,1680,2014,"May 23rd, 2015",2015,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,,"May 22nd, 2016",m,1680,1680,1680
67,Arabica,essencecoffee,Kenya,Africa,inoi,1900m,2014,"May 23rd, 2015",2015,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,Green,"May 22nd, 2016",m,1900,1900,1900
68,Arabica,assefa belay coffee producer,Ethiopia,Africa,unknown,1800-2000,2015,"March 31st, 2015",2015,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,Green,"March 30th, 2016",m,1800,2000,1900
69,Arabica,kyagalanyi ltd,Uganda,Africa,buginyanya,1600,2013,"June 26th, 2014",2014,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,Green,"June 26th, 2015",m,1600,1600,1600
70,Arabica,juan luis alvarado romero,Guatemala,CenterA,asoperc,5600-5760 metros,2013,"February 26th, 2013",2013,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,Green,"February 26th, 2014",ft,1706.88,1755.648,1731.264
71,Arabica,assefa belay coffee producer,Ethiopia,Africa,unknown,1800-2000,2015,"March 31st, 2015",2015,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,Green,"March 30th, 2016",m,1800,2000,1900
72,Arabica,great lakes coffee uganda,Uganda,Africa,chesiyo farmer group,1950,2013,"June 26th, 2014",2014,SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,Green,"June 26th, 2015",m,1950,1950,1950
73,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,2012,"April 6th, 2012",2012,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,,"April 6th, 2013",ft,NA,NA,NA
74,Arabica,nucoffee,Brazil,SouthA,fazenda serra de tres barras,1250m,2011,"December 3rd, 2011",2011,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,Blue-Green,"December 2nd, 2012",m,1250,1250,1250
75,Arabica,grounds for health admin,El Salvador,CenterA,sierra nevada,1400 m,2009 / 2010,"May 31st, 2010",2010,,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,,"May 31st, 2011",m,1400,1400,1400
76,Arabica,yunnan coffee exchange,China,Asia,pu'er city longke coffee co.ltd,1700,2015,"April 6th, 2016",2016,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,Green,"April 6th, 2017",m,1700,1700,1700
77,Arabica,essencecoffee,Guatemala,CenterA,el injerto s.a.,1770,2014,"May 23rd, 2015",2015,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,Green,"May 22nd, 2016",m,1770,1770,1770
78,Arabica,the coffee source inc.,Costa Rica,CenterA,several,1300,2014,"May 1st, 2014",2014,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,Bluish-Green,"May 1st, 2015",m,1300,1300,1300
79,Arabica,the coffee source inc.,Costa Rica,CenterA,several,1300 msnm,2014,"May 1st, 2014",2014,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,Bluish-Green,"May 1st, 2015",m,1300,1300,1300
80,Arabica,rashid moledina & co. (msa) ltd.,Kenya,Africa,unknown,above 1600 m,2012,"April 19th, 2013",2013,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,Green,"April 19th, 2014",m,1600,1600,1600
81,Arabica,ibero kenya limited,Kenya,Africa,unknown,above 1200 m,2012,"March 12th, 2013",2013,SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,Green,"March 12th, 2014",m,1200,1200,1200
82,Arabica,ethiopia commodity exchange,Ethiopia,Africa,phone number | 0911-513824 email: gmt.ft,,2009/2010,"June 17th, 2010",2010,,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,,"June 17th, 2011",m,NA,NA,NA
83,Arabica,ethiopia commodity exchange,Ethiopia,Africa,unknown,,2009/2010,"June 17th, 2010",2010,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,,"June 17th, 2011",m,NA,NA,NA
84,Arabica,juan luis alvarado romero,Guatemala,CenterA,la esperanza y anexos,,2016,"April 27th, 2016",2016,Bourbon,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,Green,"April 27th, 2017",m,NA,NA,NA
85,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,various,1550 msnm,2015,"April 8th, 2015",2015,Caturra,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,Green,"April 7th, 2016",m,1550,1550,1550
86,Arabica,compaia colombiana agroindustrial s.a,Colombia,SouthA,unknown,1550,2014,"January 17th, 2014",2014,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,Green,"January 17th, 2015",m,1550,1550,1550
87,Arabica,"nomura trading co., ltd.",Indonesia,Asia,unknown,1250-1400 meter,2012,"November 26th, 2012",2012,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,Green,"November 26th, 2013",m,1250,1400,1325
88,Arabica,the coffee source inc.,Guatemala,CenterA,coop. hoja blanca - fedecocagua,1400 msm,2012,"January 18th, 2012",2012,Caturra,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,,"January 17th, 2013",m,1400,1400,1400
89,Arabica,seid damtew coffee planataion,Ethiopia,Africa,seid damtew coffee planation,,2016,"August 9th, 2016",2016,Other,Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,Green,"August 9th, 2017",m,NA,NA,NA
90,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,2.560 msnm,2015,"August 18th, 2015",2015,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,,"August 17th, 2016",m,2560,2560,2560
91,Arabica,steven kil,Ethiopia,Africa,aricha coop,1700,2014,"October 7th, 2014",2014,,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,Green,"October 7th, 2015",m,1700,1700,1700
92,Arabica,eileen koyanagi,United States (Hawaii),Pacific,unknown,,2014,"March 10th, 2014",2014,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,Bluish-Green,"March 10th, 2015",ft,NA,NA,NA
93,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,2136 msnm,2012,"March 16th, 2012",2012,Caturra,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,Green,"March 16th, 2013",m,2136,2136,2136
94,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,2010-2011,"December 27th, 2010",2010,,,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,,"December 27th, 2011",ft,NA,NA,NA
95,Arabica,ethiopia commodity exchange,Ethiopia,Africa,unknown,,2010,"June 17th, 2010",2010,,,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,,"June 17th, 2011",m,NA,NA,NA
96,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,kona pacific farmers cooperative,,,"May 17th, 2010",2010,,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,,"May 17th, 2011",ft,NA,NA,NA
97,Arabica,kyagalanyi coffee ltd,Uganda,Africa,mount elgon area,1800,2016,"July 24th, 2017",2017,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,Green,"July 24th, 2018",m,1800,1800,1800
98,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,,2016,"February 15th, 2017",2017,Caturra,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,Green,"February 15th, 2018",m,NA,NA,NA
99,Arabica,troy quimby,Costa Rica,CenterA,estate la patricia,1900,2016,"January 30th, 2017",2017,Catuai,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,Green,"January 30th, 2018",m,1900,1900,1900
100,Arabica,"el equimite, cafetal biodinmico",Mexico,CenterA,various,1300,2015,"September 21st, 2016",2016,Typica,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,Green,"September 21st, 2017",m,1300,1300,1300
101,Arabica,simon mahinda,Kenya,Africa,unknown,-1,2015,"May 7th, 2016",2016,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,Green,"May 7th, 2017",m,1,1,1
102,Arabica,rashid moledina & co. (msa) ltd.,Kenya,Africa,machure estate,1580,2012,"April 19th, 2013",2013,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,Green,"April 19th, 2014",m,1580,1580,1580
103,Arabica,nucoffee,Brazil,SouthA,sitio sao geraldo,1100m,2012,"February 29th, 2012",2012,Mundo Novo,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,Green,"February 28th, 2013",m,1100,1100,1100
104,Arabica,young kim,Mexico,CenterA,kassandra,1400 masl,2010-2011,"April 6th, 2011",2011,Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,,"April 5th, 2012",m,1400,1400,1400
105,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,kona pacific farmers cooperative,,,"February 24th, 2011",2011,,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,,"February 24th, 2012",ft,NA,NA,NA
